T[C] , A [np/cm] 
21,0.1494
21,0.1576
21,0.1565
25,0.1373
25,0.1404
25,0.1426
30,0.156
30,0.1533
30,0.1552
35,0.2273
35,0.2186
35,0.2195
40,0.2717
40,0.2722
40,0.2702
45,0.3165
45,0.3185
45,0.3217
50,0.3345
50,0.3303
50,0.3308
